CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,-3.8218113889269687,-38.4836803296976,False
7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,HOSPITAL REGIONAL DO SERTAO CENTRAL,-5.1832747,-39.2616355,False
6848710,HOSPITAL REGIONAL NORTE,Grande,HOSPITAL REGIONAL NORTE,-3.67692037010037,-40.36864234828256,False
2499363,HGCC HOSPITAL GERAL DR CESAR CALS,Grande,HGCC HOSPITAL GERAL DR CESAR CALS,-3.726173,-38.5335661,False
2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,HOSPITAL GERAL DR WALDEMAR ALCANTARA,-3.8321166,-38.4801848,False
6779522,HOSPITAL REGIONAL DO CARIRI,Grande,HOSPITAL REGIONAL DO CARIRI,-7.2263193,-39.3254599,False
2563681,HIAS HOSPITAL INFANTIL ALBERT SABIN,Grande,HIAS HOSPITAL INFANTIL ALBERT SABIN,-3.7627591,-38.5317896,False
2497654,HGF HOSPITAL GERAL DE FORTALEZA,Especial,HGF HOSPITAL GERAL DE FORTALEZA,-3.7401048,-38.4759043,False
0086673,HOSPITAL ESTADUAL LEONARDO DA VINCI,Grande,HOSPITAL ESTADUAL LEONARDO DA VINCI,-3.7400923,-38.5100378,False
2564211,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,Grande,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,-7.3119638,-39.3027232,False
2481073,HOSPITAL SAO LUCAS,Grande,HOSPITAL SAO LUCAS,-5.182763636489275,-40.66716290409968,False
2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,IJF INSTITUTO DR JOSE FROTA CENTRAL,-3.7342646700838658,-38.531428645384175,False
2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Grande,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,-3.7483734544606415,-38.55287956928848,False
7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,Grande,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,-3.762924043180869,-38.57404560561884,False
2561492,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Grande,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,-3.7493236,-38.5517676,False
2651394,SANTA CASA DE MISERICORDIA DE FORTALEZA,Grande,SANTA CASA DE MISERICORDIA DE FORTALEZA,-3.7222056,-38.527551,False
2529424,INSTITUICAO ESPIRITA NOSSO LAR,Grande,INSTITUICAO ESPIRITA NOSSO LAR,-3.740754008231416,-38.54117740473265,False
2526638,SOPAI HOSPITAL INFANTIL,Grande,SOPAI HOSPITAL INFANTIL,-3.712746137655212,-38.56929409557734,False
2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,HOSPITAL DISTRITAL DR FERNANDES TAVORA,-3.7126897010388378,-38.5729448506617,False
2675560,HOSPITAL REGIONAL DE IGUATU,Grande,HOSPITAL REGIONAL DE IGUATU,-6.3587958,-39.29805899999999,False
2552086,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,Grande,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,-7.3119638,-39.3027232,False
2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,-3.878280299999999,-38.6235309,False
3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,SANTA CASA DE MISERICORDIA DE SOBRAL,-3.6935491,-40.3589038,False
